Date,Open,High,Low,Close,Adj Close,Volume,high_roll_max,low_roll_min,head_shoulder_pattern,close_roll_max,close_roll_min,multiple_top_bottom_pattern,support,resistance,triangle_pattern,trend_high,trend_low,wedge_pattern,channel_pattern,double_pattern,slope,intercept,signal
2023-01-02,1550.0,1560.0,1528.550048828125,1552.5,1550.7039794921875,1061404,,,,,,,,,,,,,,,,,
2023-01-03,1549.0,1570.0,1544.050048828125,1563.0,1561.1917724609375,1306648,,,,,,,,,,,,,,,,,HL
2023-01-04,1562.0,1567.3499755859375,1540.4000244140625,1547.8499755859375,1546.059326171875,1036103,1570.0,1528.550048828125,,1563.0,1547.8499755859375,,17804.924743652307,,,1.0,1.0,Wedge Up,Channel Up,,10.499999999999977,1552.5,
2023-01-05,1548.0,1548.0,1454.699951171875,1468.8499755859375,1467.150634765625,5979381,1570.0,1454.699951171875,,1563.0,1468.8499755859375,,,-20674.962966306986,,-1.0,-1.0,,,,-15.15002441406181,1578.1500244140623,
2023-01-06,1473.550048828125,1473.550048828125,1423.0,1430.3499755859375,1428.6951904296875,5207616,1567.3499755859375,1423.0,,1547.8499755859375,1430.3499755859375,,,-111291.79809570311,,-1.0,-1.0,,,,-78.99999999999999,1705.8499755859384,
2023-01-09,1447.0,1450.9000244140625,1408.6500244140625,1414.0,1412.3641357421875,4513767,1548.0,1408.6500244140625,,1468.8499755859375,1414.0,,,-52854.65002441372,,-1.0,-1.0,,,,-38.49999999999976,1584.349975585936,
2023-01-10,1429.0,1429.0,1391.0,1413.300048828125,1411.6650390625,2903001,1473.550048828125,1391.0,,1430.3499755859375,1413.300048828125,,,-21611.671416014684,,-1.0,-1.0,,,,-16.349975585937678,1495.7498779296877,LL
2023-01-11,1418.0,1422.8499755859375,1397.050048828125,1399.699951171875,1398.08056640625,2327598,1450.9000244140625,1391.0,,1414.0,1399.699951171875,,,437.77813476356016,,-1.0,-1.0,,,,-0.6999511718747704,1417.499755859373,HL
2023-01-12,1405.0,1414.949951171875,1379.0,1387.800048828125,1386.194580078125,3168742,1429.0,1379.0,,1413.300048828125,1387.800048828125,,,-17379.31555664543,,-1.0,-1.0,,,,-13.600097656250027,1494.9006347656245,
2023-01-13,1394.75,1399.8499755859375,1374.3499755859375,1391.1500244140625,1389.54052734375,3754686,1422.8499755859375,1374.3499755859375,Head and Shoulder,1399.699951171875,1387.800048828125,,,-15071.550168454487,Ascending Triangle,-1.0,-1.0,,,Double Top,-11.899902343749885,1482.999267578124,LH
2023-01-16,1398.1500244140625,1418.449951171875,1379.199951171875,1383.9000244140625,1382.299072265625,3480545,1418.449951171875,1374.3499755859375,,1391.1500244140625,1383.9000244140625,,5997.031539305859,,,1.0,1.0,Wedge Up,Channel Up,,3.3499755859373646,1361.0002441406264,HL
2023-01-17,1389.0,1391.5999755859375,1353.949951171875,1372.9000244140625,1371.311767578125,3681802,1418.449951171875,1353.949951171875,,1391.1500244140625,1372.9000244140625,,,-8497.125152587963,,-1.0,-1.0,,,,-7.250000000000053,1456.4000244140634,LL
2023-01-18,1379.800048828125,1380.0,1365.0,1367.300048828125,1365.71826171875,2589016,1418.449951171875,1353.949951171875,,1383.9000244140625,1367.300048828125,,,-13546.400512695413,,-1.0,-1.0,,,,-11.000000000000073,1493.9000244140625,HL
2023-01-19,1365.0,1365.949951171875,1348.0999755859375,1355.1500244140625,1353.582275390625,1910318,1391.5999755859375,1348.0999755859375,,1372.9000244140625,1355.1500244140625,,,-6154.307296142343,,-1.0,-1.0,,,,-5.599975585937768,1434.4997558593777,
2023-01-20,1360.0,1361.6500244140625,1326.550048828125,1333.199951171875,1331.6575927734375,2091612,1380.0,1326.550048828125,,1367.300048828125,1333.199951171875,,,-14685.311613768628,,-1.0,-1.0,,,,-12.15002441406272,1513.1003417968789,
2023-01-23,1330.0,1345.0,1319.550048828125,1332.75,1331.2081298828125,1832743,1365.949951171875,1319.550048828125,Head and Shoulder,1355.1500244140625,1332.75,,,-27613.459136962967,,-1.0,-1.0,,,Double Top,-21.950073242187557,1640.5009765625,LH
2023-01-24,1336.25,1349.0,1329.550048828125,1332.699951171875,1331.1580810546875,1311451,1361.6500244140625,1319.550048828125,,1333.199951171875,1332.699951171875,,,739.8493627905284,,-1.0,1.0,,,,-0.4499511718750427,1339.4992675781257,HL
2023-01-25,1334.9000244140625,1334.9000244140625,1310.0,1314.3499755859375,1312.8294677734375,1549899,1349.0,1310.0,,1332.75,1314.3499755859375,,,1267.7190563979464,,-1.0,-1.0,,,Double Top,-0.05004882812479256,1333.5007324218723,LH
2023-01-27,1315.0999755859375,1336.1500244140625,1302.050048828125,1314.199951171875,1312.6795654296875,1829556,1349.0,1302.050048828125,,1332.699951171875,1314.199951171875,,,-22489.237458497042,,-1.0,-1.0,,,,-18.34997558593731,1626.2995605468723,LL
